,Zeitstempel,Wert
607,201801260700.0,5.6
608,201801260800.0,4.6
609,201801260900.0,5.6
610,201801261000.0,7.0
611,201801261100.0,7.5
612,201801261200.0,7.5
613,201801261300.0,8.0
614,201801261400.0,7.8
615,201801261500.0,7.4
616,201801261600.0,6.8
617,201801261700.0,6.0
618,201801261800.0,4.9
619,201801261900.0,3.7
620,201801262000.0,4.0
621,201801262100.0,2.4
622,201801262200.0,3.5
623,201801262300.0,3.1
624,201801270000.0,4.8
625,201801270100.0,4.8
626,201801270200.0,4.8
627,201801270300.0,5.1
628,201801270400.0,4.5
629,201801270500.0,4.4
630,201801270600.0,4.0
631,201801270700.0,4.3
632,201801270800.0,4.8
633,201801270900.0,5.4
634,201801271000.0,5.8
635,201801271100.0,6.8
636,201801271200.0,7.2
637,201801271300.0,6.7
638,201801271400.0,6.9
639,201801271500.0,6.7
640,201801271600.0,6.0
641,201801271700.0,5.3
642,201801271800.0,5.3
643,201801271900.0,5.9
644,201801272000.0,5.8
645,201801272100.0,5.7
646,201801272200.0,6.1
647,201801272300.0,6.6
648,201801280000.0,6.1
649,201801280100.0,5.9
650,201801280200.0,5.2
651,201801280300.0,5.5
652,201801280400.0,5.5
653,201801280500.0,6.2
654,201801280600.0,6.6
655,201801280700.0,6.8
656,201801280800.0,7.1
657,201801280900.0,7.3
658,201801281000.0,7.8
659,201801281100.0,8.7
660,201801281200.0,9.0
661,201801281300.0,9.4
662,201801281400.0,9.8
663,201801281500.0,9.7
664,201801281600.0,9.8
665,201801281700.0,10.2
666,201801281800.0,9.7
667,201801281900.0,9.4
668,201801282000.0,9.5
669,201801282100.0,9.6
670,201801282200.0,9.8
671,201801282300.0,9.9
672,201801290000.0,9.8
673,201801290100.0,9.8
674,201801290200.0,9.8
675,201801290300.0,9.8
676,201801290400.0,9.7
677,201801290500.0,9.7
678,201801290600.0,9.9
679,201801290700.0,9.9
680,201801290800.0,10.0
681,201801290900.0,10.1
682,201801291000.0,10.0
683,201801291100.0,9.9
684,201801291200.0,10.4
685,201801291300.0,10.4
686,201801291400.0,10.3
687,201801291500.0,9.9
688,201801291600.0,8.9
689,201801291700.0,8.2
690,201801291800.0,8.2
691,201801291900.0,7.5
692,201801292000.0,6.5
693,201801292100.0,6.4
694,201801292200.0,4.9
695,201801292300.0,4.5
696,201801300000.0,5.0
697,201801300100.0,5.1
698,201801300200.0,5.0
699,201801300300.0,4.3
700,201801300400.0,4.4
701,201801300500.0,3.8
702,201801300600.0,3.2
703,201801300700.0,3.7
704,201801300800.0,3.9
705,201801300900.0,4.0
706,201801301000.0,4.5
707,201801301100.0,5.3
708,201801301200.0,5.9
709,201801301300.0,5.6
710,201801301400.0,5.5
711,201801301500.0,5.1
712,201801301600.0,4.8
713,201801301700.0,4.5
714,201801301800.0,3.9
715,201801301900.0,3.2
716,201801302000.0,3.2
717,201801302100.0,3.1
718,201801302200.0,3.0
719,201801302300.0,2.7
720,201801310000.0,2.6
721,201801310100.0,2.9
722,201801310200.0,3.4
723,201801310300.0,3.7
724,201801310400.0,4.3
725,201801310500.0,5.0
726,201801310600.0,5.4
727,201801310700.0,6.2
728,201801310800.0,7.2
729,201801310900.0,7.8
730,201801311000.0,8.6
731,201801311100.0,9.4
732,201801311200.0,9.8
733,201801311300.0,10.0
734,201801311400.0,6.8
735,201801311500.0,6.3
736,201801311600.0,6.6
737,201801311700.0,6.6
738,201801311800.0,6.5
739,201801311900.0,3.4
740,201801312000.0,3.2
741,201801312100.0,3.2
742,201801312200.0,3.0
743,201801312300.0,3.7
744,201802010000.0,3.3
745,201802010100.0,2.3
746,201802010200.0,2.2
747,201802010300.0,1.8
748,201802010400.0,2.2
749,201802010500.0,1.8
750,201802010600.0,1.6
751,201802010700.0,1.8
752,201802010800.0,2.2
753,201802010900.0,2.9
754,201802011000.0,3.8
755,201802011100.0,4.3
756,201802011200.0,4.7
757,201802011300.0,5.8
758,201802011400.0,5.4
759,201802011500.0,3.7
760,201802011600.0,3.7
761,201802011700.0,3.8
762,201802011800.0,3.9
763,201802011900.0,4.0
764,201802012000.0,3.6
765,201802012100.0,2.7
