,Zeitstempel,Wert
424,202001051000.0,2.7
425,202001051015.0,3.1
426,202001051030.0,3.5
427,202001051045.0,3.9
428,202001051100.0,4.3
429,202001051115.0,4.475
430,202001051130.0,4.65
431,202001051145.0,4.825
432,202001051200.0,5.0
433,202001051215.0,5.025
434,202001051230.0,5.05
435,202001051245.0,5.074999999999999
436,202001051300.0,5.1
437,202001051315.0,5.175
438,202001051330.0,5.25
439,202001051345.0,5.325
440,202001051400.0,5.4
441,202001051415.0,5.375
442,202001051430.0,5.35
443,202001051445.0,5.325
444,202001051500.0,5.3
445,202001051515.0,5.275
446,202001051530.0,5.25
447,202001051545.0,5.225
448,202001051600.0,5.2
449,202001051615.0,5.25
450,202001051630.0,5.300000000000001
451,202001051645.0,5.3500000000000005
452,202001051700.0,5.4
453,202001051715.0,5.45
454,202001051730.0,5.5
455,202001051745.0,5.55
456,202001051800.0,5.6
457,202001051815.0,5.699999999999999
458,202001051830.0,5.8
459,202001051845.0,5.9
460,202001051900.0,6.0
461,202001051915.0,6.0
462,202001051930.0,6.0
463,202001051945.0,6.0
464,202001052000.0,6.0
465,202001052015.0,5.925
466,202001052030.0,5.85
467,202001052045.0,5.775
468,202001052100.0,5.7
469,202001052115.0,5.7
470,202001052130.0,5.7
471,202001052145.0,5.7
472,202001052200.0,5.7
473,202001052215.0,5.725
474,202001052230.0,5.75
475,202001052245.0,5.775
476,202001052300.0,5.8
477,202001052315.0,5.725
478,202001052330.0,5.65
479,202001052345.0,5.575
480,202001060000.0,5.5
481,202001060015.0,5.5
482,202001060030.0,5.5
483,202001060045.0,5.5
484,202001060100.0,5.5
485,202001060115.0,5.475
486,202001060130.0,5.45
487,202001060145.0,5.425000000000001
488,202001060200.0,5.4
489,202001060215.0,5.4
490,202001060230.0,5.4
491,202001060245.0,5.4
492,202001060300.0,5.4
493,202001060315.0,5.3500000000000005
494,202001060330.0,5.300000000000001
495,202001060345.0,5.25
496,202001060400.0,5.2
497,202001060415.0,5.25
498,202001060430.0,5.300000000000001
499,202001060445.0,5.3500000000000005
500,202001060500.0,5.4
501,202001060515.0,5.4750000000000005
502,202001060530.0,5.550000000000001
503,202001060545.0,5.625
504,202001060600.0,5.7
505,202001060615.0,5.7
506,202001060630.0,5.7
507,202001060645.0,5.7
508,202001060700.0,5.7
509,202001060715.0,5.675
510,202001060730.0,5.65
511,202001060745.0,5.625
512,202001060800.0,5.6
513,202001060815.0,5.6
514,202001060830.0,5.6
515,202001060845.0,5.6
516,202001060900.0,5.6
517,202001060915.0,5.6
518,202001060930.0,5.6
519,202001060945.0,5.6
520,202001061000.0,5.6
521,202001061015.0,5.6499999999999995
522,202001061030.0,5.699999999999999
523,202001061045.0,5.75
524,202001061100.0,5.8
525,202001061115.0,5.775
526,202001061130.0,5.75
527,202001061145.0,5.725
528,202001061200.0,5.7
529,202001061215.0,5.7
530,202001061230.0,5.7
531,202001061245.0,5.7
532,202001061300.0,5.7
533,202001061315.0,5.75
534,202001061330.0,5.800000000000001
535,202001061345.0,5.8500000000000005
536,202001061400.0,5.9
537,202001061415.0,5.825
538,202001061430.0,5.75
539,202001061445.0,5.675
540,202001061500.0,5.6
541,202001061515.0,5.5249999999999995
542,202001061530.0,5.449999999999999
543,202001061545.0,5.375
544,202001061600.0,5.3
545,202001061615.0,5.0
546,202001061630.0,4.699999999999999
547,202001061645.0,4.3999999999999995
548,202001061700.0,4.1
549,202001061715.0,3.7749999999999995
550,202001061730.0,3.4499999999999997
551,202001061745.0,3.125
552,202001061800.0,2.8
553,202001061815.0,2.6999999999999997
554,202001061830.0,2.5999999999999996
555,202001061845.0,2.5
556,202001061900.0,2.4
557,202001061915.0,2.35
558,202001061930.0,2.3
559,202001061945.0,2.25
560,202001062000.0,2.2
561,202001062015.0,2.225
