Produkt_Code,SDO_ID,Zeitstempel,Wert,Qualitaet_Niveau,Qualitaet_Byte
TT_TU_MN009,2014,201501091800.00,8,7,1
TT_TU_MN009,2014,201501091900.00,7.2,7,1
TT_TU_MN009,2014,201501092000.00,6.5,7,1
TT_TU_MN009,2014,201501092100.00,5.7,7,1
TT_TU_MN009,2014,201501092200.00,5.7,7,1
TT_TU_MN009,2014,201501092300.00,5.8,7,1
TT_TU_MN009,2014,201501100000.00,7.3,7,1
TT_TU_MN009,2014,201501100100.00,10,7,1
TT_TU_MN009,2014,201501100200.00,11.8,7,1
TT_TU_MN009,2014,201501100300.00,12.2,7,1
TT_TU_MN009,2014,201501100400.00,12.1,7,1
TT_TU_MN009,2014,201501100500.00,12.2,7,1
TT_TU_MN009,2014,201501100600.00,11.9,7,1
TT_TU_MN009,2014,201501100700.00,12,7,1
TT_TU_MN009,2014,201501100800.00,12.2,7,1
TT_TU_MN009,2014,201501100900.00,11.8,7,1
TT_TU_MN009,2014,201501101000.00,12.1,7,1
TT_TU_MN009,2014,201501101100.00,12.2,7,1
TT_TU_MN009,2014,201501101200.00,11.7,7,1
TT_TU_MN009,2014,201501101300.00,11.2,7,1
TT_TU_MN009,2014,201501101400.00,11.2,7,1
TT_TU_MN009,2014,201501101500.00,9.9,7,1
TT_TU_MN009,2014,201501101600.00,8.7,7,1
TT_TU_MN009,2014,201501101700.00,6.7,7,1
TT_TU_MN009,2014,201501101800.00,6.5,7,1
TT_TU_MN009,2014,201501101900.00,5.9,7,1
TT_TU_MN009,2014,201501102000.00,5.9,7,1
TT_TU_MN009,2014,201501102100.00,5.6,7,1
TT_TU_MN009,2014,201501102200.00,5,7,1
TT_TU_MN009,2014,201501102300.00,4.7,7,1
TT_TU_MN009,2014,201501110000.00,4.2,7,1
TT_TU_MN009,2014,201501110100.00,3.9,7,1
TT_TU_MN009,2014,201501110200.00,3.9,7,1
TT_TU_MN009,2014,201501110300.00,3.4,7,1
TT_TU_MN009,2014,201501110400.00,3.2,7,1
TT_TU_MN009,2014,201501110500.00,3.2,7,1
TT_TU_MN009,2014,201501110600.00,3.2,7,1
TT_TU_MN009,2014,201501110700.00,3.6,7,1
TT_TU_MN009,2014,201501110800.00,3.6,7,1
TT_TU_MN009,2014,201501110900.00,3.4,7,1
TT_TU_MN009,2014,201501111000.00,2.6,7,1
TT_TU_MN009,2014,201501111100.00,3.7,7,1
TT_TU_MN009,2014,201501111200.00,4.8,7,1
TT_TU_MN009,2014,201501111300.00,4.6,7,1
TT_TU_MN009,2014,201501111400.00,4.6,7,1
TT_TU_MN009,2014,201501111500.00,4.8,7,1
TT_TU_MN009,2014,201501111600.00,4,7,1
TT_TU_MN009,2014,201501111700.00,4.7,7,1
TT_TU_MN009,2014,201501111800.00,5.5,7,1
TT_TU_MN009,2014,201501111900.00,5.6,7,1
TT_TU_MN009,2014,201501112000.00,4.6,7,1
TT_TU_MN009,2014,201501112100.00,5,7,1
TT_TU_MN009,2014,201501112200.00,5.3,7,1
TT_TU_MN009,2014,201501112300.00,5.1,7,1
TT_TU_MN009,2014,201501120000.00,6,7,1
TT_TU_MN009,2014,201501120100.00,6.1,7,1
TT_TU_MN009,2014,201501120200.00,5.7,7,1
TT_TU_MN009,2014,201501120300.00,5.9,7,1
TT_TU_MN009,2014,201501120400.00,6.3,7,1
TT_TU_MN009,2014,201501120500.00,6.5,7,1
TT_TU_MN009,2014,201501120600.00,6.7,7,1
TT_TU_MN009,2014,201501120700.00,6.8,7,1
TT_TU_MN009,2014,201501120800.00,7.2,7,1
TT_TU_MN009,2014,201501120900.00,6.9,7,1
TT_TU_MN009,2014,201501121000.00,7,7,1
TT_TU_MN009,2014,201501121100.00,7.4,7,1
TT_TU_MN009,2014,201501121200.00,7.7,7,1
TT_TU_MN009,2014,201501121300.00,7.5,7,1
TT_TU_MN009,2014,201501121400.00,7.5,7,1
